"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSÄ.","Obreb","Dzielnica","street","Numer.administracyjny","housenumber","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","lon","lat","LiczbaSzkolWPromieniuKilometra","OdlegloscDoNajblizszejSzkoly","LiczbaPrzystankowWPromieniuKilometra","OdlegloscDoNajblizszegoPrzystanku","LiczbaPlacowekMedycznychWObrebieKilometra","OdlegloscDoNajblizszejPlacowkiMedycznej","LiczbaMarketowWObrebieKilometra","OdlegloscDoNajblizszegoMarketu","Odległość.do.centrum.w.m"
1,2293.97,"Tak",42671,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","98","12","mieszkalny",58.85,"2","","",135000,"1 Maja 98",19.052338,50.2589879,10,293.524300052279,33,142.294982706183,13,260.684108919342,13,260.684108919342,2242
2,3083.25,"Nie",42227,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","23","mieszkalny",48.65,"2","","",150000,"1 Maja 124",19.055923,50.2587539,6,865.440192816228,33,37.8389138297526,13,33.1748539041697,13,33.1748539041697,2616
3,1794.2,"Nie",42214,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","30","mieszkalny",37.9,"1","","",68000,"1 Maja 124",19.055923,50.2587539,6,865.440192816228,33,37.8389138297526,13,33.1748539041697,13,33.1748539041697,2616
4,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
5,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
6,2401.15,"Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny",62.47,"3","","",150000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
7,3005.71,"Nie",42797,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","29","mieszkalny",66.54,"3","","",2e+05,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
9,2687.99,"Nie",42419,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","30","mieszkalny",29.39,"2","","",79000,"1 Maja 126",19.0561219,50.2587569,6,800.194013483327,33,38.098557259195,13,23.7280193402197,13,23.7280193402197,2624
12,3257.98,"Tak",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","148","11","mieszkalny",45.12,"2","","",147000,"1 Maja 148",19.060313,50.2592099,6,224.662413964722,34,35.4774181309466,6,120.125433065369,6,120.125433065369,2820
13,3460.45,"Nie",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","148","11","mieszkalny",42.48,"2","","",147000,"1 Maja 148",19.060313,50.2592099,6,224.662413964722,34,35.4774181309466,6,120.125433065369,6,120.125433065369,2820
14,2426.28,"Nie",42209,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","150","19","mieszkalny",53.58,"3","","",130000,"1 Maja 150",19.060633,50.259218,6,263.030476481904,31,18.6006778536707,6,120.013182158227,6,120.013182158227,2874
15,2542.37,"Nie",42753,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","110A","20","mieszkalny",47.2,"2","","",120000,"1 Maja 110A",19.054356,50.2583149,6,940.848984792096,32,155.615326686539,13,234.115604066065,13,234.115604066065,2477
16,2330.77,"Nie",42647,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","114C","20","mieszkalny",49.34,"2","","",115000,"1 Maja 114C",19.0554369,50.258007,6,1404.11818278882,33,216.28718292128,13,76.1998419335031,13,76.1998419335031,2578
17,3791.21,"Nie",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","158D","3","mieszkalny",36.4,"2","","",138000,"1 Maja 158D",19.0618899,50.2589009,6,624.691557187696,28,47.7997511765232,5,25.5769559503803,5,25.5769559503803,2994
18,3421.77,"Tak",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Zawodzie","1 Maja","158d","3","mieszkalny",40.33,"2","","",138000,"1 Maja 158d",19.0618899,50.2589009,6,624.691557187696,28,47.7997511765232,5,25.5769559503803,5,25.5769559503803,2994
19,2684.22,"Tak",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162F","9","mieszkalny",58.49,"3","","",157000,"1 Maja 162F",19.0624049,50.258277,6,1050.19867915368,28,207.110680557452,4,137.212087141598,4,137.212087141598,3113
20,2684.22,"Nie",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","162F","9","mieszkalny",58.49,"3","","",157000,"1 Maja 162F",19.0624049,50.258277,6,1050.19867915368,28,207.110680557452,4,137.212087141598,4,137.212087141598,3113
21,2553.53,"Tak",42628,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162H","1","mieszkalny",50.91,"2","","",130000,"1 Maja 162H",19.062426,50.2580509,6,1179.69334513712,28,284.165371729495,4,202.291502023385,4,202.291502023385,3138
22,2373.35,"Nie",42585,"umowa przeniesienia praw","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4a","14","mieszkalny",43.82,"1","","",104000,"18 sierpnia 4a",19.004376,50.261465,23,1954.35191403237,56,361.436791975533,19,605.73806278699,19,605.73806278699,1748
23,3551.77,"Nie",42598,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","1","mieszkalny",38.15,"1","","",135500,"18 sierpnia 1",19.0035269,50.2619879,19,1878.99403956374,41,258.548397328453,14,417.705900162744,14,417.705900162744,1744
24,2547.41,"Nie",42523,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","3","mieszkalny",35.33,"1","","",90000,"18 sierpnia 1",19.0035269,50.2619879,19,1878.99403956374,41,258.548397328453,14,417.705900162744,14,417.705900162744,1744
25,1843.1,"Nie",42135,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","3","mieszkalny",42.32,"1","","",78000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
26,3365.11,"Nie",42599,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","4","mieszkalny",35.66,"1","","",120000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
27,2516.62,"Nie",42559,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","7","mieszkalny",42.12,"1","","",106000,"18 sierpnia 4",19.004237,50.261514,23,2026.53348189862,51,349.562151064373,19,584.684188671275,19,584.684188671275,1760
28,2082.15,"Nie",42559,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","3","mieszkalny",40.9,"1","","",85160,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
29,3178.48,"Nie",42663,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","3","mieszkalny",40.9,"1","","",130000,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
30,2184.8,"Nie",42402,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","11","mieszkalny",43.94,"1","","",96000,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
31,2036.41,"Nie",42314,"umowa sprzedazy - rynek wtorny","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","6","11","mieszkalny",43.94,"1","","",89480,"18 sierpnia 6",19.004815,50.261322,27,1739.50434497771,67,410.327685389056,19,682.090709326871,19,682.090709326871,1713
32,3002.18,"Nie",42254,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","8","14","mieszkalny",36.64,"1","","",110000,"18 sierpnia 8",19.003226,50.261338,20,2060.73827351387,37,542.169457968265,19,779.750719869633,19,779.750719869633,1780
33,3344.07,"Nie",42641,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","10A","3","mieszkalny",40.37,"1","","",135000,"18 sierpnia 10A",19.004091,50.261075,25,2253.67723429311,56,560.75148763072,19,850.004883749353,19,850.004883749353,1776
