name,type,lat,lon
Zenit,supermarket,50.2590836,19.0223416
Tesco extra,supermarket,50.2697642,19.0076975
Rabat,supermarket,50.2436898,18.9908848
Aldi,supermarket,50.3012891,19.0139195
Freshmarket,supermarket,50.2807394,18.9731434
Stokrotka,supermarket,50.2777139,18.9762102
Nowy Rozdzień,supermarket,50.2783047,19.0779821
TTW Home,supermarket,50.2764994,19.0727231
Biedronka,supermarket,50.304321,19.0060669
Spożywczy,supermarket,50.2745951,18.9551546
Model,supermarket,50.269429,19.0799252
Nowosam-Roździeń,supermarket,50.2788911,19.079775
RTV euro AGD,supermarket,50.2675723,19.0614283
Carrefour,supermarket,50.2540251,19.0319623
Biedronka,supermarket,50.2800113,18.9770216
Carrefour,supermarket,50.2679867,19.0623386
Lidl,supermarket,50.2763915,19.0181544
Auchan,supermarket,50.2427576,19.0371406
Auchan,supermarket,50.2741889,18.9686289
Lidl,supermarket,50.2675724,18.9736207
Simply Market,supermarket,50.2531002,19.0193515
Biedronka,supermarket,50.2660986,18.9973329
Tesco,supermarket,50.2771184,18.9761095
Społem,supermarket,50.266999,18.9878803
Biedronka,supermarket,50.269522,19.0559232
Biedronka,supermarket,50.2600364,18.9789616
Carrefour,supermarket,50.2912075,18.9664304
Carrefour Express,supermarket,50.2846066,19.0128213
Stokrotka,supermarket,50.2800373,18.9774905
Simply Market,supermarket,50.2788582,19.0128783
Biedronka,supermarket,50.2979674,18.9960849
Freshmarket,supermarket,50.2598646,19.0591589
Freshmarket,supermarket,50.2600108,19.0539524
Społem,supermarket,50.2593202,19.0621669
Biedronka,supermarket,50.2628471,19.0106887
Delikatesy Centrum,supermarket,50.2979663,18.9513794
Stokrotka,supermarket,50.258701,19.0158629
Piotr i Paweł,supermarket,50.2783351,18.980606
Biedronka,supermarket,50.2583939,19.0565064
ALDI,supermarket,50.2617274,19.019306
biedronka ,supermarket,50.2870608,18.9582423
Zabka,supermarket,50.2623448,19.0172086
Piotr i Paweł,supermarket,50.2713977,19.0587555
ALDI,supermarket,50.2743621,19.0015118
NA,NA,50.2367388,19.0041105
NA,NA,50.2367865,19.0041542
NA,NA,50.2367925,19.0041385
NA,NA,50.236815,19.0039038
NA,NA,50.2369748,19.0043044
NA,NA,50.2372241,19.0036369
NA,NA,50.2372438,19.0036664
NA,NA,50.2372473,19.0036581
NA,NA,50.2372474,19.00367
NA,NA,50.2372556,19.0035256
NA,NA,50.2372568,19.0035227
NA,NA,50.2372885,19.0035557
NA,NA,50.2372919,19.0035475
NA,NA,50.2372965,19.0035521
NA,NA,50.2367847,19.0038764
NA,NA,50.2370013,19.0032941
NA,NA,50.2797656,18.9487806
NA,NA,50.2796068,18.9493303
NA,NA,50.2795761,18.9493085
NA,NA,50.2795564,18.9493766
NA,NA,50.2798155,18.9495598
NA,NA,50.2799939,18.948942
NA,NA,50.279946,18.9491093
NA,NA,50.2799659,18.949042
NA,NA,50.2798417,18.9488344
NA,NA,50.286861,18.9499415
NA,NA,50.2868842,18.9497428
NA,NA,50.2869005,18.9496994
NA,NA,50.2869225,18.949778
NA,NA,50.286939,18.9497349
NA,NA,50.2869791,18.9496283
NA,NA,50.2872217,18.9502739
NA,NA,50.2873396,18.9499605
NA,NA,50.2765059,18.9562388
NA,NA,50.2765652,18.9559763
NA,NA,50.2766715,18.9560353
NA,NA,50.276703,18.955897
NA,NA,50.2768467,18.9560536
NA,NA,50.2768621,18.9559855
NA,NA,50.276978,18.9564999
NA,NA,50.2770537,18.9561677
NA,NA,50.2794019,18.9734566
NA,NA,50.2794076,18.9735263
NA,NA,50.2794483,18.9735164
NA,NA,50.2794414,18.973442
NA,NA,50.2794418,18.9734469
NA,NA,50.2794858,18.973901
NA,NA,50.2795279,18.9743421
NA,NA,50.2796726,18.9733874
NA,NA,50.2796858,18.9743037
NA,NA,50.2796934,18.9743882
NA,NA,50.2797683,18.9743702
NA,NA,50.2794095,18.9736386
NA,NA,50.2794359,18.9739129
NA,NA,50.2794593,18.9736263
NA,NA,50.2897021,18.9580416
NA,NA,50.289706,18.957379
NA,NA,50.289725,18.9583051
NA,NA,50.2897624,18.9580288
