name,lat,lon
Delta-Med,50.2214011,19.0644236
Beczała,50.1986149,19.0434947
Profi-Dent,50.2243967,19.0695268
Apteka 21,50.2258402,19.0633104
Apteka na Miłej,50.2261351,19.0721094
Dbam o Zdrowie,50.3186617,19.0741761
Super-Pharm,50.2698061,19.0051265
Elmadent,50.3199889,19.1759061
Apteka CEFARM,50.2063594,19.1584488
Apteka Główna,50.2628977,19.0944171
Apteka Pod kwiatami II,50.2624056,19.0992605
Apteka Magiczna,50.277164,19.0688621
NA,50.235663,18.9630535
Dagmadent,50.2607107,19.0525881
Serpens,50.2603809,19.0526312
Vita Farm,50.2601597,19.0204135
Eskulap,50.2588299,19.0189171
Pharmavit,50.2601002,19.0184279
Apteka,50.1911054,19.1605342
Apteka VITA,50.1896191,19.1218347
Szpital Miejski nr 2,50.2470273,19.1329947
Apteka,50.2505289,19.005065
Apteka,50.2434501,19.0818057
NA,50.2440933,19.082163
Oddział Hematologii i Transplantacji Szpiku,50.2546733,19.0265932
Wojewódzkie Pogotowie Ratunkowe w Katowicach - Dyrekcja,50.2516874,19.0328129
NZOZ Energomontaż Chorzów,50.2862223,18.9604352
NA,50.2860211,18.9604578
Apteka VITALIS,50.1996703,18.9786387
Delta-Med,50.2253682,19.0624012
Na Załężu,50.2682876,18.9820731
Na Dębie,50.2790974,19.005393
Apteka Na Rogu,50.2544712,18.9107425
Apteka Książęca,50.2298771,18.970836
Medialis,50.2613215,19.0235284
Apteka Rodzinna,50.2533419,18.9045294
Plus,50.2508873,19.0054062
Dbam o Zdrowie,50.2741871,18.9666631
Piastów,50.2818909,18.9665953
Remedium,50.2331818,18.9863855
Dr. Max,50.23166,18.9825988
NA,50.2331776,18.9862639
Apteka Melisa,50.290656,19.1532311
NZOZ Lekarz Rodzinny,50.2384963,19.0113651
Apteka Vita-Farm II,50.261199,19.0195218
Stara,50.2905646,18.9191366
Apteka,50.2912397,18.9162412
NZOZ Prof Bis Med S.C.,50.2446874,19.0240901
NA,50.2643995,18.9369772
Staromiejska,50.3190347,19.0702629
Apteka św. Jana,50.3045748,19.0061496
NA,50.3200374,19.1383772
Vega,50.274919,18.9836951
Anevita,50.2746504,18.9834596
Salus,50.268678,19.0808171
Akademicka,50.2760568,18.9758686
Centrum Medyczne Wamed,50.2737992,19.0715251
Eskulap,50.2713666,19.0749878
Apteka na Złotym Rogu,50.2917313,18.9456614
Apteka pod Kwiatami III,50.2691098,19.0382437
NA,50.2318365,18.9781395
NA,50.2909702,19.1341757
Magiczna,50.2907876,19.1321402
Na Orlej,50.2904,19.1321817
Sawdent,50.2936259,19.1321857
NA,50.2925203,19.1320567
NA,50.2928507,19.1321428
Centrum Odnowy Biologicznej PULS,50.2558572,19.0284849
Klinika 2000,50.2671962,19.0084927
Śląskie Laboratoria Analityczne,50.2669491,19.0083727
zdrowit,50.3217773,19.0708689
Główna,50.2800565,18.9773349
Farmaco,50.2857915,18.9667617
SuperNowa,50.2752426,18.9827936
Praktyka Lekarzy Rodzinnych SALUS,50.2233893,18.9575336
Zespół Wojewódzkich Przychodni Specjalistycznych,50.2517125,19.0243069
Apteka Awicenna,50.2793949,18.9441686
Apteka Blisko Ciebie,50.2603972,19.0198716
Apteka Główna,50.2527174,19.0084421
Centrum Medyczne POLMED,50.2633864,19.0106068
Szpital Powiatowy,50.1748144,18.9056036
Mirdent,50.2899811,18.9625629
Witaminka,50.2902798,18.9625351
Apteka Floriańska,50.2974777,18.9338658
Przychodnia Beskidzka,50.2971914,18.9328128
Apteka Pod Orłem,50.2592585,19.0241917
NA,50.2761081,19.132346
Apteka,50.311007,18.9155446
Dr. Max,50.2519486,19.0249379
NA,50.2949424,19.1535664
Polsko-Amerykanska Klinika Serca,50.3208719,19.1768348
Viola,50.1997097,19.0399126
Anet-Med,50.2815349,19.1817585
Anet-Med,50.2815559,19.1817685
Wielospecjalistyczny Szpital TOMMED,50.2101765,18.9771098
Centrum Medyczne Giszowiec,50.2228719,19.0674369
Centrum Medyczno-Farmaceutyczne „Przyjazna”,50.2231304,19.0700032
Śląska Izba Lekarska,50.2687121,19.0167372
Apteka DOBRUSIA,50.2277996,18.970589
