"names","lat","lon"
"Ochojec Wapienna",50.2210272,18.9896572
"Ochojec Sadowa",50.2161415,18.9899278
"Ochojec Ziołowa",50.2131734,18.9887092
"Piotrowice Skrzyżowanie",50.2092333,18.9740975
"Piotrowice Dworzec PKP",50.2158699,18.9717151
"Giszowiec Karolinki",50.2267764,19.0563943
"Siemianowice Kolonia Wojewódzka",50.2928756,19.0484704
"Zawodzie Waleriana",50.2596028,19.0473396
"Sosnowiec Rondo Ludwik",50.2732009,19.1453419
"Sosnowiec Egzotarium",50.2834232,19.1057637
"Sosnowiec Aleja Mireckiego",50.278943,19.1158898
"Dańdówka Cmentarz",50.2690212,19.1688907
"Chorzów Batory",50.2784458,18.9446898
"Świętochłowice",50.289129,18.9181552
"Chorzów Racławicka",50.282022,18.9493395
"Osiedle Kukuczki Podhalańska",50.2718764,19.0489339
"Muchowiec Park",50.2347552,19.0261771
"Katowice Sokolska",50.2642022,19.0181862
"Dąbrówka Mała Centrum Handlowe",50.2679102,19.0570859
"Katowice Ligota",50.2260011,18.977841
"Katowice Brynów",50.2442472,18.9833474
"Katowice",50.2573798,19.017078
"Środula K-D",50.3000796,19.1607552
"Chorzów Hala Sportowa(Chorzów)",50.2855,18.9410813
"Giszowiec Kościół",50.2241659,19.063466
"Giszowiec Kolista Pętla",50.2286518,19.059942
"Zawodzie Uniwersytet Ekonomiczny",50.2583845,19.0465483
"Katowice Damrota",50.2578982,19.030812
"Katowice Rynek (Teatr Śl.)",50.2592616,19.0232546
"Zawodzie Paderewskiego",50.2580094,19.0400378
"Katowice Rondo",50.2643607,19.023589
"Katowice Zawodzie",50.2574919,19.0574884
"Katowice Piotrowice",50.2134589,18.9701255
"Katowice Podlesie",50.1829289,18.9602958
"Zawodzie Ośrodek Sportowy",50.2593059,19.0559892
"Zawodzie Pętla",50.2596991,19.0643276
"Giszowiec Mysłowicka",50.2265593,19.068644
"Giszowiec Mysłowicka",50.2260548,19.069883
"Giszowiec Szyb Roździeński",50.2221156,19.0757153
"Giszowiec Przyjemna",50.2195449,19.0715464
"Giszowiec Radosna",50.2233377,19.0669877
"Zawodzie Ośrodek Sportowy",50.2593175,19.0551463
"Zawodzie Łączna",50.2595385,19.0609755
"Nikiszowiec Szyb Wilson",50.2499648,19.08192
"Kolonia Wysockiego Kulika",50.2361655,19.0734412
"Kolonia Wysockiego Woźniaków",50.2341602,19.0699974
"Giszowiec Przyjazna",50.2220111,19.0702916
"Giszowiec Przyjazna",50.2215808,19.0703915
"Sosnowiec Główny",50.2788915,19.1264252
"Janów Leśnego Potoku",50.2423478,19.0938688
"Janów Zamkowa",50.2422193,19.0889435
"Nikiszowiec Kościół",50.243591,19.0818343
"Koszutka Słoneczna Pętla",50.2738148,19.0244164
"Wełnowiec Kościół",50.2783224,19.0208553
"Wełnowiec Kościół",50.278565,19.0208158
"Milowice Most",50.2915861,19.0730827
"Giszowiec Kopalnia Staszic",50.2245318,19.0489915
"Zagórze Mec",50.2970662,19.184535
"Janów Lwowska Szkoła",50.2478522,19.0895186
"Wełnowiec Plac Alfreda",50.29288,19.0144314
"Wełnowiec Plac Alfreda",50.2926027,19.014421
"Brzezinka Topolowa",50.2078641,19.1478416
"Brzezinka Reja",50.2064666,19.1579927
"Dąb Kościół",50.2708944,18.9972183
"Dąb Silesia City Center",50.2695073,19.0029349
"Dąb Huta Baildon",50.267964,19.0096965
"Katowice Stęślickiego",50.2669106,19.014192
"Katowice Sokolska",50.265859,19.0185049
"Katowice Plac Miarki",50.2544077,19.0177279
"Katowice Jordana",50.2517621,19.015102
"Załęże Dwór",50.2675889,18.990355
"Brynów Drozdów",50.2348078,19.0001199
"Brynów Słowików",50.2314666,18.9973252
"Brynów Pętla",50.2270542,18.9947379
"Chorzów Polna",50.3133125,18.9482312
"Piaśniki Skrzyżowanie",50.3043339,18.9190841
"Świętochłowice Kościół",50.2909861,18.9170119
"Świętochłowice Muzeum Powstań Śląskich",50.2884756,18.9235086
"Chorzów Miasto",50.2985496,18.9498988
"Zawodzie Waleriana",50.2597664,19.0474842
"Murcki Rynek",50.1979536,19.0433534
"Zawodzie Bohaterów Monte Cassino",50.259902,19.0532187
"Murcki Bielska",50.1982919,19.045275
"Murcki Bielska",50.1977364,19.045499
"Murcki Osiedle",50.2037677,19.0430359
"Murcki Dolina Murckowska",50.1999856,19.0522003
"Murcki Szyb Stanisław",50.2064917,19.0419426
"Dąbrowa Górnicza Urząd Pracy",50.3235594,19.1672619
"Osiedle Mydlice Szpital",50.3190669,19.1781325
"Koszelew",50.3222203,19.1566674
"Będzin Rondo",50.3247713,19.1242038
"Dąbrowa Górnicza Centrum",50.3255851,19.1856438
"Dąbrowa Górnicza Centrum",50.3253282,19.1873164
"Dąbrowa Górnicza Huta Bankowa",50.3250559,19.174486
"Dąbrowa Górnicza Sienkiewicza",50.3257088,19.1819811
"Będzin Słowiańska",50.3082539,19.1374126
"Czeladź Wodociągi n/ż",50.3202974,19.089813
"Milowice Centrum Handlowe",50.2851134,19.1013046
"Janów Zamkowa Skwer",50.2439367,19.0852477
"Muchowiec 73 Pułku Piechoty n/ż",50.2270433,19.0276742
"Ochojec Szpital",50.2120241,18.9993349
"Piotrowice Osiedle",50.21044,18.9825822
"Piotrowice Fabryka Maszyn",50.2128107,18.973134
"Ligota Poleska",50.2230235,18.9696542
"Ligota Szpital",50.2247483,18.9577859
"Ligota Akademiki",50.218075,18.9585562
"Janów Lwowska Szkoła",50.247866,19.0898392
"Giszowiec Karolinki",50.2270922,19.0555682
"Ligota Bronisławy",50.22103,18.9596442
"Katowice Mariacka",50.257109,19.0281393
"Giszowiec Przyjemna",50.2193781,19.0727939
"Osiedle Paderewskiego Trzy Stawy",50.2422433,19.0359564
"Osiedle Paderewskiego Trzy Stawy",50.243434,19.0361425
"Giszowiec Osiedle",50.2240246,19.0583341
"Giszowiec Osiedle",50.2240241,19.0585123
"Burowiec",50.2682877,19.0792382
"Zawodzie Pętla",50.2598878,19.0632925
"Siemianowice Plac Skargi",50.2985002,19.0272701
"Park Śląski Wejście Główne",50.280826,18.9783961
"Chorzów Batory Zajezdnia",50.2744223,18.956519
"Chorzów Floriańska",50.3031563,18.9457571
"Chorzów Rynek",50.2980494,18.9546371
"Chorzów Batory Zajezdnia",50.2747787,18.9551386
"Chorzów Metalowców",50.3031734,18.9518987
"Chorzów Wodociągi",50.3027354,18.934349
"Chorzów Racławicka",50.2810121,18.9467369
"Chorzów Stadion Śląski Pętla Zach.",50.2870858,18.9694808
"Chorzów Bałtycka",50.2871164,18.9393751
"Chorzów Chopina",50.2941473,18.9573942
"Chorzów Sobieskiego",50.2946912,18.9508552
"Chorzów Dworcowa",50.2979544,18.9517903
"Załęże Wiśniowa",50.2693077,18.9801792
"Świętochłowice Mijanka",50.2862435,18.9281454
"Lipiny Kościół",50.307341,18.9040212
"Załęże Dom Kultury",50.2701368,18.9750621
"Chorzów Żeromskiego",50.2943645,18.948925
"Park Śląski Ogród Zoologiczny",50.2764299,18.9856029
"Chorzów Cmentarna",50.2887592,18.9473218
"Park Śląski Wesołe Miasteczko",50.2724749,18.9914964
"Środula Prusa",50.2954518,19.1598818
"Środula Prusa",50.295411,19.1602504
"Węzłowiec Pętla",50.304996,18.9969101
"Sielec Osiedle Zamkowa",50.2862532,19.1488735
"Konstantynów Fabryczna",50.2914658,19.1475652
"Konstantynów Okrzei",50.2952707,19.1450509
"Dąbrówka Mała Pawilon Agata",50.2679222,19.0553162
"Środula K-D",50.3005962,19.1573695
"Łagiewniki Cmentarz",50.325029,18.9439783
"Łagiewniki Media-Markt",50.3213201,18.9452888
"Łagiewniki Zajezdnia",50.3179319,18.9464667
"Chorzów AKS",50.2898182,18.9642631
"Chorzów Stadion Śląski",50.2875166,18.9678662
"Katowice Stadion AWF",50.2484883,19.012277
"Katowice Kościuszki Szpital",50.2462193,19.0102233
"Brynów Zgrzebnioka",50.2404101,19.0050285
"Koszutka Misjonarzy Oblatów",50.2699072,19.0244451
"Sosnowiec Dworzec PKP",50.2784533,19.1271978
"Sosnowiec Dworzec PKP",50.2780115,19.1268689
"Lipiny Targowisko",50.3068579,18.8982812
"Chropaczów Lampego",50.3160856,18.9157419
"Lipiny Targowisko",50.306779,18.8982156
"Lipiny Mijanka",50.3079644,18.900429
"Lipiny Bukowego",50.3088552,18.9039981
"Chropaczów Szkoła",50.3112298,18.9128544
"Chropaczów Ratusz",50.3140549,18.9132871
"Milowice Centrum Handlowe",50.2866756,19.1031394
"Chorzów Kościół św. Jadwigi",50.2917641,18.945887
"Konstantynów Centrum Handlowe",50.2884927,19.1489167
"Sielec Osiedle Zamkowa",50.2866801,19.1490027
"Sielec Narutowicza",50.2778511,19.1477856
"Sielec Narutowicza",50.2785445,19.1478639
"Sielec Park",50.2837278,19.1385323
"Sosnowiec Dworzec PKP",50.2782369,19.1270017
"Sielec Osiedle Zamkowa",50.2870956,19.1481397
"Sosnowiec Rondo Ludwik",50.2733424,19.1455198
"Sosnowiec Sobieskiego",50.2768916,19.1192629
"Sosnowiec Ostrogórska",50.2733594,19.1357536
"Sosnowiec Ostrogórska",50.2741597,19.1344074
