"lp.","Cena.jednostkowa.netto","Z.powierzchnia.przynalezna","Data.transakcji","Rodzaj.transakcji","Sprzedajacy","Kupujacy","Wojewodztwo","Powiat","Gmina","MiejscowoSæ","Obreb","Dzielnica","Ulica","Numer.administracyjny","Numer.lokalu","Sposob.uzytkowania.lokalu","Pow..lokalu.obliczeniowa","liczba.pokoi","Stan.techniczny.lokalu","Rok.budowy","Cena.netto","Adres","X","lon","lat"
1,"2293.97","Tak",42671,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","98","12","mieszkalny","58.85","2","","","135000","1 Maja 98","",19.052338,50.2589879
2,"3083.25","Nie",42227,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","23","mieszkalny","48.65","2","","","150000","1 Maja 124","",19.055923,50.2587539
3,"1794.2","Nie",42214,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","124","30","mieszkalny","37.9","1","","","68000","1 Maja 124","",19.055923,50.2587539
4,"2401.15","Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny","62.47","3","","","150000","1 Maja 126","",19.0561219,50.2587569
5,"2401.15","Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny","62.47","3","","","150000","1 Maja 126","",19.0561219,50.2587569
6,"2401.15","Tak",42153,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","19","mieszkalny","62.47","3","","","150000","1 Maja 126","",19.0561219,50.2587569
7,"3005.71","Nie",42797,"umowa sprzedazy - rynek wtorny","spolka","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","29","mieszkalny","66.54","3","","","200000","1 Maja 126","",19.0561219,50.2587569
8,"4185.1","Nie",42464,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","30","mieszkalny","29.39","2","","","123000","1 Maja 126","",19.0561219,50.2587569
9,"2687.99","Nie",42419,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","126","30","mieszkalny","29.39","2","","","79000","1 Maja 126","",19.0561219,50.2587569
10,"1975.75","Nie",42410,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","144","31","mieszkalny","53.6","3","","","105900","1 Maja 144","",19.059507,50.2590829
11,"3460.45","Nie",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","148","11","mieszkalny","42.48","2","","","147000","1 Maja 148","",19.060313,50.2592099
12,"3257.98","Tak",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","148","11","mieszkalny","45.12","2","","","147000","1 Maja 148","",19.060313,50.2592099
13,"3460.45","Nie",42396,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","148","11","mieszkalny","42.48","2","","","147000","1 Maja 148","",19.060313,50.2592099
14,"2426.28","Nie",42209,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","150","19","mieszkalny","53.58","3","","","130000","1 Maja 150","",16.2409035,50.7621569
15,"2542.37","Nie",42753,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","110A","20","mieszkalny","47.2","2","","","120000","1 Maja 110A","",19.054356,50.2583149
16,"2330.77","Nie",42647,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","114C","20","mieszkalny","49.34","2","","","115000","1 Maja 114C","",19.0554369,50.258007
17,"3791.21","Nie",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","158D","3","mieszkalny","36.4","2","","","138000","1 Maja 158D","",19.0618899,50.2589009
18,"3421.77","Tak",42450,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Zawodzie","1 Maja","158d","3","mieszkalny","40.33","2","","","138000","1 Maja 158d","",19.0618899,50.2589009
19,"2684.22","Tak",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162F","9","mieszkalny","58.49","3","","","157000","1 Maja 162F","",19.0624049,50.258277
20,"2684.22","Nie",42277,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","Bogucice","1 Maja","162F","9","mieszkalny","58.49","3","","","157000","1 Maja 162F","",19.0624049,50.258277
21,"2553.53","Tak",42628,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","Bogucice-Zawodzie","","1 Maja","162H","1","mieszkalny","50.91","2","","","130000","1 Maja 162H","",19.062426,50.2580509
22,"2373.35","Nie",42585,"umowa przeniesienia praw","spoldzielnia","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4a","14","mieszkalny","43.82","1","","","104000","18 sierpnia 4a","",19.004376,50.261465
23,"3551.77","Nie",42598,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","1","mieszkalny","38.15","1","","","135500","18 sierpnia 1","",19.0035269,50.2619879
24,"2547.41","Nie",42523,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","1","3","mieszkalny","35.33","1","","","90000","18 sierpnia 1","",19.0035269,50.2619879
25,"1843.1","Nie",42135,"umowa sprzedazy - rynek wtorny","osoba fizyczna","osoba fizyczna","Slaskie","Katowice","Katowice","Katowice","SrodmieScie-Zaleze","Zaleze","18 sierpnia","4","3","mieszkalny","42.32","1","","","78000","18 sierpnia 4","",19.004237,50.261514
