"Nazwa";"Typ";"Miejscowosc";"Gmina";"Poczta";"KodPoczt";"Ulica";"NrDomu";"Telefon";"eMail";"KategUcz";"Publiczn";"Powiat";"Specyfika";"lon";"lat"
"Gimnazjum dla Dorosłych";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-326";"Techników";"11";322566372;"kcez.sekretariat@dmail.com";"Dorośli";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0621175;50.2738107
"GINAZJUM NR 17 W ZESPOLE SZKÓŁ NR 2";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-749";"GOETLA";"2";322550855;"zsz2murcki@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0433229;50.2023196
"Gimnazjum nr 7";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-861";"Gliwicka";"228";322540626;"sekretariat@zs7.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9714259;50.270638
"Gimnazjum Nr 8 im. Królowej Jadwigi w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-881";"B. Chrobrego";"4";322546730;"sekretariat@zso3.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9720759;50.2798359
"Proedukacja - Gimnazjum dla Dorosłych w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-009";"Warszawska";"3";323088282;"biuro@proedukacja.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.023749;50.258983
"Prywatne Gimnazjum Fundacji Elementarz";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-743";"Studencka";"18";322045908;"gimnazjum@elementarz.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9596128;50.2157856
"AP Edukacja-Gimnazjum dla Dorosłych w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-095";"Stawowa";"11";326084688;"katowice@apedukacja.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.017998;50.260011
"Gimnazjum Europejskie dla Dorosłych";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-098";"Młyńska";"3";327819898;"sekretariat@studiumeuropejskie.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.020829;50.2588993
"Prywatne Gimnazjum AMICUS";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"18";322549194;"sekretariat@nasze-szkoly.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9698177;50.2589031
"Prywatne Gimnazjum Complex of Silesian International Schools";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"18";322549194;"sekretariat@nasze-szkoly.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9698177;50.2589031
"Niepubliczne Katolickie Gimnazjum im. Świętej Rodziny";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-578";"Zofii Kossak-Szczuckiej";"24";327246525;"szkola.katolicka@hotmail.com";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9854879;50.2338139
"Gimnazjum Zakonu Pijarów";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-750";"Pijarska";"7";668864713;"katowice@pijarzy.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9815431;50.1972386
"I Społeczne Gimnazjum im.S.Konarskiego STO";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-066";"Mikołowska";"26";322512344;"sekretariat@stoszkola.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0111579;50.254819
